Time (s),Photometer (mg/L)
403.0122,10.55813217
404.0115,10.49643707
405.0129,10.24753571
406.0122,10.53891277
407.0116,10.43784428
408.0109,10.29494095
409.0123,10.07904911
410.0116,10.31862354
411.011,10.24266338
412.0123,10.43087578
413.0116,10.33571815
414.013,10.144104
415.0123,10.14025307
416.0117,10.27120876
417.011,10.3330946
418.0124,10.3112402
419.0117,10.08347511
420.0111,10.06323051
421.0124,9.937534332
422.0118,10.12261486
423.0131,10.14094162
424.0124,9.969347
425.0118,10.17320251
426.0132,10.01790333
427.0125,9.737551689
428.0119,9.817116737
429.0132,10.00839615
430.0125,10.22105694
431.0119,10.16305542
432.0132,9.850089073
433.0126,9.927547455
434.0119,9.76205349
435.0133,9.826347351
436.0126,9.820567131
437.012,9.727555275
438.0133,9.650557518
439.0126,9.544268608
440.012,9.689107895
441.0133,9.700616837
442.0127,9.444627762
443.012,9.409377098
444.0133,9.549525261
445.0127,9.421517372
446.012,9.333540916
447.0133,9.504126549
448.0127,9.462040901
449.012,9.302775383
450.0133,9.238517761
451.0127,9.389217377
452.014,9.316695213
453.0133,9.279359818
454.0126,9.308048248
455.012,9.341421127
456.0133,9.320408821
457.0126,9.064480782
458.012,9.028139114
459.0133,9.036277771
460.0127,9.24104023
461.014,9.414674759
462.0133,9.066626549
463.0127,8.999590874
464.012,8.996873856
465.0133,8.979119301
466.0126,9.126214027
467.012,9.059454918
468.0133,8.868081093
469.0146,8.878997803
470.012,8.895066261
471.0133,9.052796364
472.0147,8.953479767
473.012,8.795525551
474.0123,9.02713871
475.0137,9.160330772
476.013,9.196609497
477.0123,8.866940498
478.0137,8.787808418
479.013,8.742553711
480.0123,8.940511704
481.0136,8.875573158
482.013,8.571108818
483.0143,8.652126312
484.0136,8.648385048
485.013,8.63771534
486.0123,8.552975655
487.0137,8.670873642
488.013,8.560317993
489.0123,8.298892975
490.0137,8.340299606
491.013,8.184762001
492.0123,8.158189774
493.0136,8.349380493
494.013,8.144454002
495.0143,8.371287346
496.0137,8.454726219
497.013,8.522069931
498.0143,8.20251751
499.0137,8.107253075
500.013,8.219417572
501.0123,8.376883507
502.0137,8.122391701
503.013,8.322398186
504.0143,8.259040833
505.0136,8.248940468
506.013,8.145677567
507.0123,8.175601006
508.0137,8.022089005
509.013,8.058555603
510.0123,7.961571693
511.0157,8.03817749
512.013,8.044218063
513.0123,7.926541805
514.0136,7.857374191
515.013,7.990991592
516.0123,7.892569542
517.0137,7.827590466
518.015,7.956642151
519.0143,8.064373016
520.0137,7.942915916
521.013,7.84284687
522.0123,7.715419292
523.0137,7.954527378
524.015,7.76884222
525.0123,7.669538021
526.0136,7.723614216
527.013,7.695387363
528.0123,7.590447426
529.0137,7.599177837
530.013,7.595705509
531.0123,7.666685581
532.0136,7.612882614
533.013,7.501142502
534.0123,7.542666912
535.0136,7.522176743
536.013,7.512788773
537.0143,7.593197823
538.0137,7.608023167
539.015,7.589672089
540.0123,7.591041565
541.0137,7.465531349
542.013,7.47915411
543.0123,7.453500271
544.0137,7.428241253
545.015,7.415807247
546.0123,7.341107369
547.0137,7.208860397
548.013,7.176374912
549.0123,7.167777062
550.0137,7.282454014
551.013,7.430742264
552.0123,7.533463955
553.0137,7.635474205
554.013,7.513390541
555.0143,7.394909859
556.0136,7.558261871
557.013,7.653374195
558.0123,7.65718317
559.0137,7.389168739
560.013,6.978792191
561.0123,6.931952953
562.0137,6.980834007
563.013,6.971590042
564.0143,6.923681259
565.0137,7.039262772
566.013,6.9817729
567.0143,7.01294899
568.0136,7.061707497
569.013,6.969137669
570.0143,6.763060093
571.0137,6.868443966
572.015,6.927990437
573.0143,6.82929945
574.0137,6.838945866
575.013,6.952783108
576.0143,6.79360199
577.0136,6.771499634
578.015,6.942632675
579.0143,6.7499156
580.0137,6.750699043
581.013,6.817208767
582.0143,6.722864151
583.0137,6.688708305
584.013,6.657692432
585.0143,6.598144531
586.0137,6.73440361
587.013,6.651674271
588.0143,6.627709866
589.0136,6.495055199
590.015,6.411828995
591.0143,6.460211754
592.0136,6.678107262
593.015,6.733712673
594.0163,6.549492836
595.0137,6.427993298
596.013,6.444521427
597.0143,6.359691143
598.0137,6.327030659
599.013,6.445888519
600.0143,6.47710228
601.0136,6.495889664
602.013,6.491156101
603.0143,6.59452486
604.0136,6.424935818
605.015,6.4949193
606.0143,6.511590958
607.0136,6.246827126
608.015,6.153069019
609.0143,6.30694294
610.0136,6.168729782
611.015,6.219965935
612.0143,6.279057026
613.0156,6.225711346
614.013,6.269036293
615.0143,6.192768574
616.0136,6.196625233
617.013,5.981180191
618.0143,5.982793331
619.0156,6.0400424
620.013,5.95073843
621.0143,5.963701725
622.0136,5.908693314
623.013,5.969126701
624.0143,6.026836395
625.0136,6.097124577
626.0149,6.008486271
627.0143,5.912755013
628.0156,5.909967423
629.013,5.861435413
630.0143,5.799914837
631.0136,5.863090515
632.013,5.883801937
633.0143,5.981165886
634.0136,5.860348225
635.013,5.91106844
636.0143,5.711384296
637.0136,5.688560486
638.013,5.868570328
639.0143,5.707299709
640.0136,5.730351448
641.013,5.693869114
642.0143,5.66582489
643.0136,5.650234699
644.013,5.649128437
645.0143,5.730683327
646.0136,5.699645519
647.013,5.752308369
648.0143,5.692009449
649.0136,5.754350185
650.015,5.790373325
651.0143,5.610667229
652.0136,5.668720245
653.013,5.611767769
654.0143,5.636484623
655.0136,5.549727917
656.0149,5.648532391
657.0143,5.614990234
658.0136,5.608690739
659.015,5.48045969
660.0143,5.475314617
661.0136,5.325079918
662.015,5.335744381
663.0143,5.486555576
664.0156,5.410090923
665.0149,5.501627445
666.0143,5.555544376
667.0156,5.398725987
668.015,5.311930656
669.0143,5.275579929
670.0136,5.332221508
671.0149,5.468211651
672.0143,5.257668972
673.0136,5.255843639
674.0149,5.27195406
675.0143,5.288631916
676.0136,5.229121208
677.015,5.158268452
678.0143,5.218306541
679.0136,5.211634636
680.015,5.245872498
681.0143,5.270533085
682.0136,5.273688793
683.015,5.304281235
684.0143,5.185944557
685.0136,5.117189884
686.0149,5.139046192
687.0143,5.183859348
688.0136,5.144414425
689.015,5.142230988
690.0143,5.1802454
691.0136,5.232070923
692.015,5.133074284
693.0143,5.034473419
694.0136,5.137343407
695.015,5.022175789
696.0143,4.911185265
697.0136,4.900092125
698.015,4.957692623
699.0143,4.975739956
700.0156,4.924514294
701.0149,4.910514832
702.0143,4.895531178
703.0136,4.943318844
704.015,5.040318012
705.0163,5.005043507
706.0136,5.001723766
707.015,4.909013271
708.0143,4.810173988
709.0156,4.743430138
710.0149,4.815174103
711.0143,4.803767204
712.0156,4.701162338
713.015,4.786177635
714.0163,4.765760899
715.0156,4.73223114
716.015,4.726864338
717.0163,4.692337036
718.0136,4.699086189
719.015,4.601850033
720.0163,4.643213749
721.0136,4.607936859
722.015,4.568173885
723.0143,4.559111595
724.0156,4.603579998
725.015,4.619724751
726.0143,4.515822887
727.0136,4.433749676
728.0149,4.580082893
729.0143,4.651772499
730.0136,4.546445847
731.015,4.520345211
732.0143,4.513028622
733.0136,4.550677776
734.0149,4.427950382
735.0163,4.469724178
736.0136,4.520892143
737.015,4.538161755
738.0143,4.501610279
739.0156,4.45015955
740.015,4.419328213
741.0163,4.439663887
742.0136,4.322718144
743.0149,4.404359818
744.0143,4.333885193
745.0136,4.329926491
746.0149,4.351788521
747.0143,4.362905026
748.0136,4.253225803
749.0149,4.215676308
750.0142,4.285130501
751.0156,4.350883007
752.0149,4.300220013
753.0142,4.387550354
754.0155,4.317687035
755.0149,4.266008377
756.0142,4.265973091
757.0155,4.200528145
758.0149,4.256509781
759.0142,4.233093262
760.0155,4.194531918
761.0148,4.156129837
762.0142,4.11888504
763.0155,4.208374977
764.0148,4.219880104
765.0141,4.137248039
766.0155,4.228960991
767.0148,4.191549301
768.0141,4.12360096
769.0155,4.072562218
